Bug ID,Mutation Score,Condition Coverage,Bug Present
1,74.6606334841629,90.14084507042253,False
2,71.59353348729792,90.09433962264151,False
3,72.44897959183673,86.92307692307692,False
4,73.61111111111111,82.55813953488372,False
5,80.4733727810651,92.72727272727273,False
6,68.64686468646865,84.31372549019608,False
7,64.83516483516483,78.80434782608695,False
8,82.95454545454545,90.74074074074075,False
9,78.43137254901961,95.23809523809524,False
10,73.36,89.26327944572748,False
11,70.6166868198307,89.93625498007968,False
12,62.5,91.30434782608695,False
1,35.22727272727273,90.0709219858156,True
2,60.578034682080926,90.05681818181819,True
3,56.84210526315789,87.3015873015873,True
4,71.52777777777779,82.55813953488372,True
5,31.92771084337349,92.5925925925926,True
6,25.835866261398177,84.0909090909091,True
7,45.05494505494506,78.80434782608695,True
8,58.333333333333336,90.38461538461539,True
9,52.475247524752476,95.23809523809524,True
10,72.72,88.68591224018476,True
11,61.53846153846154,90.01581027667984,True
12,70.0,88.0952380952381,True
13,62.0253164556962,97.5,True
13,97.46835443037975,97.5,False
14,70.95890410958904,93.0327868852459,True
14,81.36986301369863,93.0327868852459,False
15,55.80110497237569,88.98305084745763,True
15,72.28260869565217,89.16666666666667,False
16,9.67741935483871,91.93548387096774,True
16,75.68807339449542,91.93548387096774,False
17,61.59420289855072,74.77744807121661,True
17,65.29351184346035,74.77876106194691,False
18,47.248803827751196,70.16908212560386,True
18,49.280575539568346,70.26699029126213,False
19,56.043956043956044,78.26086956521739,True
19,60.43956043956044,78.80434782608695,False
20,33.07086614173229,91.34817813765183,True
20,80.17817371937639,91.41767068273093,False
21,42.99065420560748,96.66666666666667,True
21,73.01587301587301,100.0,False
22,28.78787878787879,91.66666666666667,True
22,73.01587301587301,100.0,False
23,16.073781291172594,84.74468085106383,True
23,72.25891677675033,86.29237288135593,False
24,11.731843575418994,91.34615384615384,True
24,77.41935483870968,91.66666666666667,False
25,70.57793345008757,91.51322751322752,True
46,42.5531914893617,90.0,True
46,75.86206896551724,90.27777777777777,False
47,5.986696230598669,57.1875,True
47,59.45378151260504,58.84146341463415,False
92,27.882599580712785,88.18897637795276,True
108,36.74242424242424,94.0,True
92,71.48846960167715,88.18897637795276,False
45,40.42056074766355,89.92805755395683,True
45,74.37070938215103,90.0,False
113,85.97122302158273,89.6875,True
48,64.09691629955947,74.8407643312102,True
113,74.46428571428572,89.75155279503106,False
48,65.45654565456546,74.60317460317461,False
49,66.66666666666666,90.19607843137256,True
49,90.9090909090909,91.0,False
50,1.9607843137254901,80.73770491803279,True
50,63.667820069204154,81.74603174603175,False
51,76.88172043010752,96.29629629629629,True
51,86.47342995169082,96.66666666666667,False
52,92.83185840707965,81.0,True
102,71.57894736842105,84.25925925925925,True
56,10.362694300518134,37.5,True
56,42.3469387755102,42.0,False
25,91.40350877192982,91.46808510638297,False
26,43.87755102040816,92.5,True
57,74.21383647798741,86.0,True
26,78.21782178217822,95.23809523809524,False
27,19.68503937007874,35.58620689655172,True
57,77.10843373493977,88.23529411764706,False
58,74.44444444444444,93.47826086956522,True
58,76.34408602150538,93.75,False
27,11.811023622047244,34.44827586206897,False
28,70.0,100.0,True
79,73.44497607655502,85.04273504273505,True
28,80.95238095238095,100.0,False
29,6.289308176100629,92.3076923076923,True
29,80.12048192771084,92.5925925925926,False
30,58.445945945945944,90.27777777777777,True
102,71.05263157894737,85.18518518518519,False
103,40.843023255813954,79.95867768595042,True
30,67.0,86.69724770642202,False
79,66.82577565632458,85.47008547008546,False
103,73.5251798561151,80.0,False
104,59.82142857142857,83.06451612903226,True
104,67.2566371681416,88.70967741935483,False
105,6.607019958706125,64.134110787172,True
68,49.41050375133976,87.67300380228137,True
80,69.38775510204081,88.71045576407506,True
68,76.04278074866309,87.67300380228137,False
52,80.59701492537313,81.095,False
53,15.577889447236181,88.39285714285714,True
53,72.13930348258707,88.59649122807018,False
31,61.22699386503068,68.71859296482413,True
54,60.5972323379461,77.98660714285714,True
31,53.88409371146733,68.56060606060606,False
32,50.10373443983403,87.56776556776556,True
32,72.85429141716567,87.61151079136691,False
54,64.90974729241877,78.35476718403548,False
55,24.242424242424242,88.46153846153847,True
33,82.25108225108225,93.88888888888889,True
55,78.64077669902912,89.02439024390245,False
33,84.97854077253218,93.95604395604396,False
59,48.8338192419825,40.548780487804876,True
62,14.035087719298245,87.5,True
40,18.384401114206128,80.33962264150944,True
40,61.08786610878661,80.24644549763033,False
67,64.25855513307985,88.19444444444444,True
67,72.96296296296296,88.35616438356165,False
41,52.9891304347826,89.58333333333333,True
71,15.476190476190476,87.27272727272727,True
74,6.4667291471415185,83.65942028985508,True
71,69.13946587537092,86.36363636363636,False
72,70.74468085106383,84.0,True
72,71.875,84.31372549019608,False
64,50.98039215686274,39.937106918238996,True
41,75.98944591029023,89.51612903225806,False
66,61.76100628930817,89.09482758620689,True
66,80.67754077791719,89.09482758620689,False
34,88.52233676975945,80.03088803088804,True
69,62.43523316062176,89.0748898678414,True
69,95.72327044025157,89.09482758620689,False
34,82.55813953488372,80.1076923076923,False
70,51.345755693581786,75.86798679867987,True
35,66.43952299829643,91.8989898989899,True
35,74.52339688041594,91.94818652849742,False
36,91.66666666666666,91.95652173913044,True
36,76.13065326633166,92.02586206896552,False
70,64.38923395445134,75.86798679867987,False
37,85.02415458937197,89.1744966442953,True
43,62.25382932166303,74.76340694006309,True
37,86.24000000000001,88.58,False
38,90.36697247706422,96.875,True
38,96.84684684684684,96.96969696969697,False
39,87.09677419354838,94.04761904761905,True
39,85.20179372197309,94.18604651162791,False
42,77.03703703703704,94.13541666666667,True
42,83.49514563106796,94.19587628865979,False
64,54.68053491827637,40.06211180124224,False
43,65.3475935828877,75.15432098765432,False
44,48.309178743961354,96.66666666666667,True
62,76.31578947368422,84.375,False
44,84.40366972477065,96.875,False
74,69.06542056074765,83.90647482014388,False
75,71.01105845181675,88.04021447721179,True
59,47.81976744186046,40.90909090909091,False
75,72.08201892744479,87.9812834224599,False
76,14.917127071823206,80.70175438596492,True
76,66.49484536082474,79.15625,False
60,61.292719167904906,87.45128205128205,True
60,71.36498516320475,87.48337595907928,False
61,72.83582089552239,87.51546391752578,True
77,46.87216681776972,79.91099476439791,True
61,71.69390787518573,87.57948717948717,False
65,93.45132743362832,81.0,True
77,68.84057971014492,79.66492146596859,False
78,6.666666666666667,83.00778210116732,True
65,97.34513274336283,81.0,False
78,66.50049850448654,83.43968871595331,False
80,72.05651491365776,88.57640750670241,False
81,73.65591397849462,91.48809523809524,True
73,46.00355239786856,80.65151515151516,True
81,79.62962962962963,91.58823529411765,False
82,81.81818181818183,95.22077922077922,True
82,82.26600985221675,95.28205128205128,False
83,0.0,63.888888888888886,True
83,62.62626262626263,63.888888888888886,False
87,27.160493827160494,87.46896551724137,True
87,73.59454855195912,87.88666666666667,False
88,0.0,86.73469387755102,True
73,87.92184724689164,80.65151515151516,False
84,81.32911392405063,92.74647887323944,True
84,87.3529411764706,93.31168831168831,False
85,25.0,77.88461538461539,True
85,65.3061224489796,79.8076923076923,False
86,65.92517694641052,86.08361204013377,True
86,76.84529828109201,88.00334448160535,False
88,69.64285714285714,86.27450980392157,False
89,34.85169491525424,87.44489795918368,True
89,73.41772151898735,87.29268292682927,False
90,77.6158940397351,87.16475095785441,True
95,65.01272264631042,74.3135593220339,True
90,71.20211360634082,87.02290076335878,False
91,11.200000000000001,95.45454545454545,True
91,74.63768115942028,94.5945945945946,False
95,67.16604244694132,75.36666666666666,False
94,70.05405405405405,86.94833948339483,True
96,66.08695652173913,89.16145833333333,True
94,79.44025834230355,86.86080586080585,False
98,62.76150627615063,94.44444444444444,True
98,77.35849056603774,93.66197183098592,False
99,12.380952380952381,94.82758620689656,True
99,72.56637168141593,95.16129032258064,False
100,13.698630136986301,95.45454545454545,True
100,74.74747474747475,94.64285714285714,False
101,0.0,62.5,True
101,54.285714285714285,59.09090909090909,False
96,68.0456490727532,89.32820512820513,False
97,21.438263229308006,78.71052631578948,True
105,72.38754325259515,64.134110787172,False
97,61.67341430499326,80.02631578947368,False
107,0.0,64.20588235294117,True
106,47.559591373439275,67.23645320197045,True
107,47.72727272727273,64.20588235294117,False
108,80.0,94.07894736842105,False
106,54.87528344671202,66.99014778325123,False
112,68.10207336523126,92.44748858447488,True
109,56.01436265709157,88.5583596214511,True
112,74.8006379585327,92.44748858447488,False
114,34.82260183968462,81.25333333333333,True
109,78.56502242152466,88.437106918239,False
114,62.40208877284596,81.19823788546256,False
115,37.76371308016878,87.04545454545455,True
115,74.51403887688986,87.02830188679245,False
116,26.13390928725702,87.02830188679245,True
116,73.83966244725738,87.04545454545455,False
110,73.64400305576775,81.49851632047478,True
117,58.306188925081436,84.61538461538461,True
117,74.2671009771987,84.61538461538461,False
118,26.097560975609756,78.83435582822086,True
118,60.679611650485434,78.96341463414635,False
119,72.14532871972318,80.7483870967742,True
110,79.4251134644478,81.62280701754386,False
111,44.89795918367347,82.6086956521739,True
119,72.31833910034602,80.7483870967742,False
111,66.66666666666666,83.33333333333333,False
120,69.80392156862744,92.56756756756756,True
120,77.04280155642024,92.66666666666667,False
121,62.68656716417911,92.09401709401709,True
122,77.31568998109641,92.32575757575758,True
121,76.09756097560975,91.80672268907563,False
125,70.14767932489451,85.25862068965517,True
122,76.6859344894027,92.26717557251908,False
125,81.40756302521008,85.30927835051547,False
126,39.08045977011494,90.9090909090909,True
126,73.80952380952381,90.625,False
127,52.63157894736842,83.06451612903226,True
127,72.22222222222221,85.0,False
130,35.80508474576271,92.17557251908397,True
130,72.05882352941177,92.23484848484848,False
131,17.142857142857142,34.33898305084746,True
131,18.57451403887689,35.67213114754098,False
132,31.737193763919823,91.41767068273093,True
132,81.42857142857143,91.51984126984127,False
133,53.0631479736098,88.3037542662116,True
133,77.21280602636534,88.13310580204778,False
134,41.32596685082873,82.78776978417267,True
134,63.46578366445917,81.48214285714286,False
135,47.28506787330316,31.446540880503143,True
123,60.933448573898005,83.00471698113208,True
135,68.66666666666667,31.48148148148148,False
136,38.61003861003861,88.35616438356165,True
136,70.24793388429752,89.1304347826087,False
137,69.95515695067265,87.54248366013071,True
137,79.45084145261293,87.62025316455696,False
138,47.03770197486535,88.03488372093024,True
138,67.31448763250883,89.72727272727273,False
139,57.73195876288659,84.54545454545455,True
139,68.96551724137932,84.12698412698413,False
123,81.8496110630942,83.00471698113208,False
140,46.45522388059701,38.9344262295082,True
124,36.17021276595745,95.16129032258064,True
124,88.29787234042553,95.3125,False
140,38.847583643122675,40.57377049180328,False
141,60.34648700673725,88.17821782178218,True
141,68.89726672950047,87.55844155844156,False
142,38.32153690596562,88.85714285714286,True
128,66.16871704745168,82.4375,True
142,73.12687312687312,88.98965517241379,False
143,2.1032504780114722,11.650485436893204,True
143,14.542190305206462,14.018691588785046,False
144,68.89050036258159,85.73198198198199,True
128,83.12937062937063,82.52153110047847,False
144,68.96792189679219,86.27729257641921,False
129,51.94805194805194,78.0,True
129,66.66666666666666,78.84615384615384,False
145,50.20618556701031,79.52760736196319,True
145,96.54471544715447,79.59638554216868,False
146,76.97368421052632,98.03333333333333,True
149,34.074074074074076,32.15547703180212,True
146,84.21052631578947,98.03333333333333,False
147,6.0344827586206895,90.0,True
147,71.72131147540983,90.41095890410959,False
148,8.571428571428571,78.75555555555556,True
148,56.38599810785241,77.61410788381743,False
153,64.79591836734694,85.04672897196262,True
153,67.4937965260546,84.82142857142857,False
149,45.36290322580645,32.80701754385965,False
154,62.293488824101075,86.14886731391586,True
150,65.15151515151516,74.9915611814346,True
154,72.18992248062015,85.98705501618123,False
150,67.17557251908397,75.05531914893616,False
151,0.0,58.8235294117647,True
151,56.84210526315789,58.333333333333336,False
152,63.82428940568475,85.1063829787234,True
152,63.82428940568475,85.21126760563381,False
158,0.13003901170351106,47.25609756097561,True
161,8.322981366459627,84.61111111111111,True
155,51.11402359108781,91.70673076923077,True
161,78.31474597273854,84.91244239631337,False
155,75.18427518427518,90.29017857142857,False
156,32.75488069414317,89.70588235294117,True
162,36.16352201257861,86.66666666666667,True
156,73.76344086021506,91.52892561983471,False
162,69.00958466453673,86.41304347826087,False
163,58.7360594795539,88.37209302325581,True
163,74.28571428571429,89.8989898989899,False
164,54.02298850574713,78.57142857142857,True
164,57.692307692307686,80.0,False
165,84.91228070175438,89.43478260869566,True
165,82.36301369863014,88.75524475524476,False
166,85.04273504273505,93.95604395604396,True
157,65.37530266343826,83.00305810397553,True
166,85.77405857740585,94.14893617021276,False
167,66.81614349775785,85.21546961325967,True
170,55.27638190954774,87.6923076923077,True
170,72.05882352941177,88.23529411764706,False
167,75.70498915401302,85.9572192513369,False
173,52.96031229668184,83.97039473684211,True
173,84.48500651890483,85.45065789473684,False
174,73.41538461538461,89.87732342007435,True
159,41.33016627078385,90.53030303030303,True
159,70.47619047619048,90.53030303030303,False
160,50.29940119760479,40.3125,True
160,46.757164404223225,39.937106918238996,False
157,79.94047619047619,83.2106824925816,False
174,80.58429701765064,89.9520295202952,False
175,26.13390928725702,87.02830188679245,True
175,72.76785714285714,85.39603960396039,False
171,58.31853167554766,81.1156462585034,True
176,65.95092024539878,92.12227074235808,True
176,73.97260273972603,92.4069264069264,False
171,91.23741859088219,80.91311754684838,False
169,69.55484896661368,66.39840637450199,True
169,71.41706924315619,66.29659318637275,False
172,60.92592592592593,74.46524064171123,True
172,66.30036630036629,73.94179894179894,False
